t,fv0_x,fv0_v,fv0_v_kmh,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
7.55,-4.570441,0.5581762,2.0094345,179.31677,-0.13125741,-1.09875355e-11,-7.163555e-11,4.570441,2.5581763
7.6,-4.542722,0.5520073,1.9872264,157.20825,-0.14846167,-1.4679905e-11,-7.6059235e-11,4.542722,2.5520072
7.65,-4.515308,0.5449409,1.9617871,164.88277,-0.14246838,-1.8516065e-11,-7.7387124e-11,4.515308,2.544941
7.7,-4.4882164,0.53753006,1.9351083,185.9717,-0.12602697,-2.2341223e-11,-7.561921e-11,4.4882164,2.5375302
7.75,-4.4615293,0.53178304,1.9144189,160.63582,-0.14574578,-2.600059e-11,-7.0755506e-11,4.4615293,2.531783
7.8,-4.4351096,0.5246589,1.888772,179.35078,-0.13115397,-2.9339378e-11,-6.2796e-11,4.4351096,2.524659
7.85,-4.409029,0.5179097,1.864475,189.88942,-0.12293089,-3.2202796e-11,-5.1740695e-11,4.409029,2.5179098
7.9,-4.3833184,0.5123994,1.8446378,166.28116,-0.14130482,-3.4436055e-11,-3.7589595e-11,4.3833184,2.5123994
7.95,-4.357853,0.50530887,1.8191118,192.86191,-0.12058717,-3.588436e-11,-2.0342696e-11,4.357853,2.5053089
8.0,-4.3327384,0.4992285,1.7972226,191.99228,-0.12125064,-3.6392927e-11,1.2924697e-26,4.3327384,2.4992285
8.05,-4.307953,0.493749,1.7774963,175.80345,-0.13384633,-3.5806965e-11,2.3438494e-11,4.307953,2.493749
8.1,-4.2834067,0.48688346,1.7527804,204.05112,-0.11183104,-3.3971683e-11,4.9972786e-11,4.2834067,2.4868834
8.15,-4.2592134,0.4814109,1.7330792,193.0063,-0.12042055,-3.073229e-11,7.960287e-11,4.2592134,2.481411
8.2,-4.2353063,0.4758336,1.7130009,187.71336,-0.12453018,-2.5934001e-11,1.12328764e-10,4.2353063,2.4758337
8.25,-4.2116456,0.46935123,1.6896644,212.37874,-0.10530578,-1.9422021e-11,1.4815045e-10,4.2116456,2.4693513
8.3,-4.188331,0.46440044,1.6718416,193.20767,-0.12022538,-1.1041562e-11,1.8706793e-10,4.188331,2.4644005
8.35,-4.165261,0.4586648,1.6511934,200.29573,-0.1146922,-6.3783305e-13,2.2908121e-10,4.165261,2.458665
8.4,-4.142453,0.4526881,1.6296772,217.17574,-0.10153237,1.19439545e-11,2.7419028e-10,4.142453,2.4526882
8.45,-4.1199737,0.44810805,1.613189,193.97304,-0.119592756,2.685859e-11,3.2239517e-10,4.1199737,2.448108
8.5,-4.097704,0.44221574,1.5919766,213.07892,-0.104699604,4.4260866e-11,3.7369585e-10,4.097704,2.4422157
8.55,-4.075718,0.4368559,1.5726813,218.29439,-0.10062574,6.404133e-11,4.175226e-10,4.075718,2.4368558
8.6,-4.054026,0.43237266,1.5565416,198.99702,-0.11564484,8.556204e-11,4.4330573e-10,4.054026,2.4323726
8.65,-4.032531,0.42651057,1.5354381,224.1079,-0.096075036,1.0792081e-10,4.510452e-10,4.032531,2.4265106
8.7,-4.011332,0.4217686,1.5183669,217.14233,-0.10148938,1.3021546e-10,4.4074108e-10,4.011332,2.4217687
8.75,-3.9903827,0.41708487,1.5015056,210.53416,-0.106625535,1.5154382e-10,4.1239331e-10,3.9903827,2.417085
8.8,-3.9696417,0.41156206,1.4816234,231.83362,-0.09002492,1.7100371e-10,3.6600192e-10,3.9696417,2.411562
8.85,-3.949194,0.40732706,1.4663774,215.6375,-0.10262935,1.8769293e-10,3.0156688e-10,3.949194,2.4073272
8.9,-3.9289534,0.40239233,1.4486123,223.02638,-0.09686385,2.007093e-10,2.1908822e-10,3.9289534,2.4023924
8.95,-3.9089413,0.39734337,1.4304361,235.98268,-0.08676213,2.0915066e-10,1.1856592e-10,3.9089413,2.3973434
9.0,-3.8892066,0.39344797,1.4164127,215.31621,-0.10284891,2.121148e-10,1.0339758e-25,3.8892066,2.3934479
9.05,-3.8696482,0.38833043,1.3979895,234.36958,-0.08799857,2.0869957e-10,-1.3660956e-10,3.8696482,2.3883305
9.1,-3.8503387,0.38382766,1.3817796,236.35172,-0.086444944,1.9800275e-10,-2.9126274e-10,3.8503387,2.3838277
9.15,-3.8312771,0.37999672,1.3679881,219.39664,-0.09964142,1.791222e-10,-4.6395957e-10,3.8312771,2.3799968
9.2,-3.8123813,0.37491083,1.349679,243.23471,-0.08106477,1.5115571e-10,-6.547e-10,3.8123813,2.3749108
9.25,-3.7937467,0.37096047,1.3354577,233.66103,-0.08851225,1.1320111e-10,-8.634841e-10,3.7937467,2.3709605
9.3,-3.775317,0.3668486,1.3206549,230.89766,-0.0906554,6.4356215e-11,-1.0903118e-09,3.775317,2.3668485
9.35,-3.7570715,0.36215287,1.3037503,248.09729,-0.07724979,3.7188377e-12,-1.3351832e-09,3.7570715,2.3621528
9.4,-3.7390792,0.35860693,1.290985,231.21367,-0.09039128,-6.96132e-11,-1.5980981e-09,3.7390792,2.358607
9.45,-3.7212539,0.35417992,1.2750478,243.53137,-0.0807884,-1.5654207e-10,-1.8790567e-09,3.7212539,2.3541799
9.5,-3.70364,0.3500303,1.2601092,248.89644,-0.07660095,-2.5796995e-10,-2.178059e-09,3.70364,2.3500304
9.55,-3.6862535,0.3466093,1.2477934,233.13213,-0.088871,-3.7325892e-10,-2.4335e-09,3.6862535,2.3466094
9.6,-3.6690168,0.34208688,1.2315128,253.48996,-0.07300615,-4.986908e-10,-2.5837752e-09,3.6690168,2.3420868
9.65,-3.65201,0.3384758,1.2185129,246.91658,-0.07811777,-6.290073e-10,-2.6288842e-09,3.65201,2.3384757
9.7,-3.635193,0.33488044,1.2055696,241.4249,-0.082386985,-7.5895007e-10,-2.5688272e-09,3.635193,2.3348804
9.75,-3.6185353,0.33058655,1.1901116,259.4491,-0.068340145,-8.8326085e-10,-2.4036044e-09,3.6185353,2.3305867
9.8,-3.602108,0.32741484,1.1786934,243.73465,-0.08057194,-9.966814e-10,-2.1332154e-09,3.602108,2.3274148
9.85,-3.5858338,0.32352692,1.1646969,252.07004,-0.074071795,-1.0939533e-09,-1.7576606e-09,3.5858338,2.3235269
9.9,-3.5697412,0.31968197,1.1508551,260.56155,-0.06745016,-1.1698182e-09,-1.2769397e-09,3.5697412,2.319682
9.95,-3.5538614,0.31670386,1.140134,243.17639,-0.08098358,-1.2190181e-09,-6.910528e-10,3.5538614,2.3167038
10.0,-3.5381126,0.31263334,1.12548,261.72827,-0.0665263,-1.2362944e-09,-8.271806e-25,3.5381126,2.3126333
10.05,-3.522568,0.30932832,1.1135819,257.5298,-0.06978904,-1.2163889e-09,7.962188e-10,3.522568,2.3093283
10.1,-3.5071983,0.3061271,1.1020576,251.44182,-0.074523546,-1.1540434e-09,1.6976036e-09,3.5071983,2.306127
