traj_id,t,fv0_x,fv0_v,fv0_v_noise,fv0_u,fv0_a_ref,fv0_a
0.0,19.3,194.49146,9.544993,9.463937,-1053.4541,-0.8204471,-1.1370322
0.0,19.4,195.43495,9.43142,9.338359,-1090.6396,-0.8494078,-1.1651044
0.0,19.5,196.36646,9.315312,9.345689,-1126.4083,-0.8772651,-1.1920615
0.0,19.6,197.28578,9.196732,9.197263,-1160.7603,-0.90401894,-1.2179048
0.0,19.7,198.19272,9.0757475,9.0491085,-1193.6954,-0.9296693,-1.242635
0.0,19.8,199.08707,8.952432,9.121893,-1225.2137,-0.9542163,-1.2662535
0.0,19.9,199.96867,8.826858,8.864435,-1255.3153,-0.9776599,-1.288761
0.0,20.0,200.83736,8.699105,8.740066,-1284.0,-1.0,-1.310159
0.0,20.1,201.69296,8.569258,8.702446,-1311.268,-1.0212367,-1.3304484
0.0,20.2,202.53534,8.4374,8.542929,-1337.119,-1.0413699,-1.3496304
0.0,20.3,203.36435,8.303623,8.270081,-1361.5533,-1.0603998,-1.3677061
0.0,20.4,204.17987,8.16802,8.165814,-1384.5708,-1.0783262,-1.3846766
0.0,20.5,204.98178,8.030688,7.9110603,-1406.1715,-1.0951492,-1.400543
0.0,20.6,205.76996,7.891729,7.8660755,-1426.3555,-1.1108687,-1.4153066
0.0,20.7,206.54433,7.7512465,7.631634,-1445.1226,-1.1254848,-1.4289683
0.0,20.8,207.3048,7.6093497,7.4611278,-1462.4728,-1.1389976,-1.4415294
0.0,20.9,208.05127,7.4661508,7.381069,-1478.4062,-1.1514068,-1.452991
0.0,21.0,208.78369,7.321765,7.384303,-1492.923,-1.1627126,-1.4633541
0.0,21.1,209.50201,7.176312,7.1068807,-1506.0228,-1.172915,-1.4726198
0.0,21.2,210.20616,7.029916,7.1656556,-1517.7059,-1.182014,-1.4807892
0.0,21.3,210.89613,6.8827024,6.98664,-1527.9722,-1.1900095,-1.4878633
0.0,21.4,211.57187,6.7348022,6.7112875,-1536.8217,-1.1969016,-1.4938432
0.0,21.5,212.23337,6.5863504,6.511246,-1544.2543,-1.2026902,-1.49873
0.0,21.6,212.88062,6.4374847,6.445494,-1550.2701,-1.2073755,-1.5025243
0.0,21.7,213.51361,6.2883463,6.217543,-1554.811,-1.210912,-1.505182
0.0,21.8,214.13239,6.139081,5.996267,-1557.1207,-1.2127109,-1.5061151
0.0,21.9,214.73694,5.989838,6.021258,-1556.9664,-1.2125907,-1.505143
0.0,22.0,215.3273,5.84077,5.675208,-1554.3484,-1.2105516,-1.5022669
