t,fv0_x_noise,fv0_v_noise,fv0_x,fv0_v,fv0_u,fv0_a,fv0_a_noise,lv_x,lv_v,d_fv0_lv,d*_fv0_lv,fv0_a_ref
15.0,84.08049,12.3752575,84.030396,12.458617,897.609,0.35696983,0.44886693,97.82555,12.96416,13.795148,14.458617,0.6990724
15.1,85.348114,12.424743,85.278824,12.492731,1045.5942,0.47189328,0.49300045,99.12429,13.010779,13.845467,14.492731,0.8143257
15.2,86.39539,12.452424,86.5314,12.5320215,1136.7391,0.54249763,0.5300615,100.427704,13.057576,13.896306,14.5320215,0.8853108
15.3,87.83261,12.612462,87.78616,12.593273,987.8338,0.42593226,0.46768174,101.73582,13.104551,13.949653,14.593273,0.769341
15.4,89.1053,12.629896,89.046684,12.645952,932.6775,0.3824616,0.42495263,103.04863,13.151705,14.001944,14.645952,0.72638434
15.5,90.171684,12.621062,90.31455,12.676591,1118.5906,0.526954,0.60886806,104.366165,13.199037,14.051613,14.676591,0.8711764
15.6,91.958206,12.768114,91.585045,12.725318,1104.7244,0.5156769,0.5134455,105.688385,13.24546,14.10334,14.725318,0.86037725
15.7,92.95319,12.96199,92.85843,12.789683,914.6186,0.3669859,0.35870695,107.01516,13.289887,14.156727,14.789683,0.7123198
15.8,93.90115,12.992896,94.13941,12.828971,991.68445,0.42661807,0.39084086,108.34627,13.33232,14.206853,14.828971,0.7723399
15.9,95.55702,12.669834,95.42571,12.862111,1127.7772,0.5322814,0.5591545,109.68152,13.372758,14.255809,14.862111,0.8783312
16.0,96.51899,12.9750595,96.71393,12.917353,1013.03534,0.4423703,0.3649572,111.02072,13.4112,14.306789,14.917353,0.7889683
16.1,98.163666,12.957502,98.00625,12.975305,858.1947,0.32120073,0.36000508,112.36366,13.447647,14.357411,14.975305,0.6683759
16.2,99.53815,13.018652,99.30643,13.003137,1020.98206,0.44770423,0.47709596,113.710144,13.482099,14.403723,15.003137,0.7951573
16.3,100.44562,13.000142,100.60976,13.03997,1073.013,0.4878582,0.5171117,115.05998,13.514555,14.450223,15.03997,0.8356799
16.4,102.10752,13.108461,101.91485,13.096703,894.4006,0.3481827,0.35509396,116.41296,13.545016,14.49811,15.096703,0.6965737
16.5,103.308014,13.155435,103.22546,13.140294,845.36017,0.30955046,0.38619938,117.76888,13.573482,14.543429,15.140294,0.6583802
16.6,104.70678,13.105008,104.54237,13.162904,1014.506,0.44105592,0.48465562,119.12763,13.601482,14.585261,15.162904,0.7901137
16.7,106.24039,13.113158,105.86103,13.202795,987.7883,0.41984466,0.3894908,120.489235,13.630548,14.628203,15.202795,0.7693056
16.8,107.13262,13.212326,107.1817,13.257195,797.1687,0.2708357,0.24137674,121.8538,13.660677,14.672092,15.257195,0.62084794
16.9,108.358154,13.3106785,108.5089,13.287252,868.6641,0.3262121,0.2822284,123.22142,13.69187,14.71252,15.287252,0.6765297
17.0,109.66284,13.3687,109.840744,13.3088,1030.6366,0.4521396,0.47970375,124.592224,13.724128,14.751477,15.3088,0.80267644
17.1,111.01026,13.439462,111.17342,13.354127,931.5519,0.37450862,0.32450166,125.9663,13.75745,14.792878,15.354127,0.72550774
17.2,112.49329,13.358589,112.50872,13.408008,738.8887,0.2239083,0.2780779,127.343765,13.791837,14.835048,15.408008,0.57545847
17.3,113.91975,13.457202,113.85152,13.428818,908.51135,0.35579985,0.42194852,128.72472,13.827288,14.873205,15.428818,0.70756334
17.4,115.25282,13.54986,115.19749,13.453609,1036.5029,0.45522735,0.41127652,130.10928,13.863804,14.91179,15.453609,0.8072453
17.5,116.70939,13.621928,116.54395,13.505368,872.5687,0.32702017,0.31774274,131.49753,13.901383,14.953584,15.505368,0.6795707
17.6,117.897064,13.548055,117.89447,13.553938,744.8329,0.22703618,0.22786723,132.88956,13.939088,14.995091,15.553938,0.5800879
17.7,119.543106,13.548587,119.252396,13.570681,963.9994,0.39755347,0.44175264,134.28531,13.975978,15.032913,15.570681,0.7507783
17.8,120.55915,13.6228895,120.61208,13.603777,1002.9181,0.42752126,0.50798845,135.68471,14.0120535,15.072633,15.603777,0.7810888
17.9,122.51689,13.543667,121.97286,13.658638,801.8204,0.27033356,0.18605892,137.08768,14.047314,15.114821,15.658638,0.6244707
18.0,123.464806,13.673678,123.33967,13.693039,821.4595,0.28527066,0.26936164,138.49414,14.08176,15.154467,15.693039,0.6397659
18.1,124.540344,13.787462,124.71178,13.713004,995.48956,0.42059997,0.40729913,139.90399,14.115392,15.19222,15.713004,0.77530336
18.2,125.87073,13.818785,126.08491,13.75459,929.42975,0.3687171,0.2986836,141.31717,14.148208,15.232266,15.75459,0.7238549
18.3,127.55697,13.778537,127.46047,13.805563,756.51917,0.23351768,0.20926216,142.7336,14.18021,15.273124,15.805563,0.5891894
18.4,128.79825,13.8491955,128.84294,13.827423,896.9886,0.34268802,0.36407647,144.15317,14.211397,15.310235,15.827423,0.6985892
18.5,130.37125,13.770242,130.22845,13.852707,994.9838,0.41874257,0.40480864,145.57584,14.241771,15.347383,15.852707,0.77490956
18.6,131.70943,13.970354,131.61478,13.900004,848.27686,0.30398658,0.22675553,147.00151,14.271859,15.386736,15.900004,0.66065174
18.7,132.99043,13.935043,133.005,13.942825,747.63116,0.22514983,0.36885396,148.43022,14.302196,15.425215,15.942825,0.5822673
18.8,134.23247,13.930364,134.40182,13.957959,947.1503,0.38037848,0.39368737,149.86197,14.332779,15.460146,15.957959,0.73765606
18.9,135.49722,13.952026,135.80019,13.988199,979.7,0.40540832,0.41099304,151.29678,14.36361,15.496594,15.988199,0.7630062
19.0,137.11005,14.033639,137.19936,14.039928,775.9482,0.24617383,0.19127752,152.7347,14.394688,15.535349,16.039928,0.604321
19.1,138.77515,14.029301,138.60387,14.074088,763.0197,0.23574127,0.24877658,154.17574,14.426013,15.571864,16.07409,0.5942521
19.2,140.05698,14.152947,140.01416,14.087133,980.0124,0.40459964,0.39638895,155.61992,14.457586,15.605756,16.087133,0.7632495
19.3,141.17589,14.083661,141.42503,14.123189,945.1032,0.3770269,0.28260073,157.06726,14.489406,15.642234,16.12319,0.7360617
